name,time,windspeed_ZMW
windgeber_ZMW,1699228829000000000,10.3
windgeber_ZMW,1699229429000000000,11.2
windgeber_ZMW,1699230029000000000,10.8
windgeber_ZMW,1699230629000000000,11.1
windgeber_ZMW,1699231229000000000,11.6
windgeber_ZMW,1699231829000000000,10.7
windgeber_ZMW,1699232429000000000,11.8
windgeber_ZMW,1699233029000000000,11.7
windgeber_ZMW,1699233629000000000,10.9
windgeber_ZMW,1699234229000000000,11.3
windgeber_ZMW,1699234829000000000,11
windgeber_ZMW,1699235429000000000,10.2
windgeber_ZMW,1699236029000000000,11
windgeber_ZMW,1699236629000000000,10.8
windgeber_ZMW,1699237229000000000,10
windgeber_ZMW,1699237829000000000,10
windgeber_ZMW,1699238429000000000,10.4
windgeber_ZMW,1699239029000000000,10.1
windgeber_ZMW,1699239629000000000,10.4
windgeber_ZMW,1699240229000000000,10.6
windgeber_ZMW,1699240829000000000,10
windgeber_ZMW,1699241429000000000,10.1
windgeber_ZMW,1699242029000000000,9.7
windgeber_ZMW,1699242629000000000,9.5
windgeber_ZMW,1699243229000000000,9.9
windgeber_ZMW,1699243829000000000,10
windgeber_ZMW,1699244429000000000,9.2
windgeber_ZMW,1699245029000000000,9.3
windgeber_ZMW,1699245629000000000,9.1
windgeber_ZMW,1699246229000000000,8.9
windgeber_ZMW,1699246829000000000,8.2
windgeber_ZMW,1699247429000000000,7.9
windgeber_ZMW,1699248029000000000,7.5
windgeber_ZMW,1699248629000000000,7.8
windgeber_ZMW,1699249229000000000,7.9
windgeber_ZMW,1699249829000000000,7.8
windgeber_ZMW,1699250429000000000,7.9
windgeber_ZMW,1699251029000000000,7.6
windgeber_ZMW,1699251629000000000,5.9
windgeber_ZMW,1699252229000000000,6.4
windgeber_ZMW,1699252829000000000,7.2
windgeber_ZMW,1699253429000000000,7.1
windgeber_ZMW,1699254029000000000,6.6
windgeber_ZMW,1699254629000000000,6.7
windgeber_ZMW,1699255229000000000,6.7
windgeber_ZMW,1699255829000000000,6.8
windgeber_ZMW,1699256429000000000,8.1
windgeber_ZMW,1699257029000000000,8.4
windgeber_ZMW,1699257629000000000,8.3
windgeber_ZMW,1699258229000000000,8.4
windgeber_ZMW,1699258829000000000,9.1
windgeber_ZMW,1699259429000000000,9
windgeber_ZMW,1699260029000000000,10
windgeber_ZMW,1699260629000000000,9.8
windgeber_ZMW,1699261229000000000,9.7
windgeber_ZMW,1699261829000000000,9.2
windgeber_ZMW,1699262429000000000,9.5
windgeber_ZMW,1699263029000000000,8.7
windgeber_ZMW,1699263629000000000,9.4
windgeber_ZMW,1699264229000000000,9.1
windgeber_ZMW,1699264829000000000,7.8
windgeber_ZMW,1699265429000000000,8.3
windgeber_ZMW,1699266029000000000,7.6
windgeber_ZMW,1699266629000000000,7.5
windgeber_ZMW,1699267229000000000,7
windgeber_ZMW,1699267829000000000,8
windgeber_ZMW,1699268429000000000,7.8
windgeber_ZMW,1699269029000000000,7.7
windgeber_ZMW,1699269629000000000,7.3
windgeber_ZMW,1699270229000000000,6.9
windgeber_ZMW,1699270829000000000,6.2
windgeber_ZMW,1699271429000000000,8.2
windgeber_ZMW,1699272029000000000,6.9
windgeber_ZMW,1699272629000000000,7.8
windgeber_ZMW,1699273229000000000,7
windgeber_ZMW,1699273829000000000,7.2
windgeber_ZMW,1699274429000000000,7.5
windgeber_ZMW,1699275029000000000,7.7
windgeber_ZMW,1699275629000000000,7.6
windgeber_ZMW,1699276229000000000,7.3
windgeber_ZMW,1699276829000000000,8.1
windgeber_ZMW,1699277429000000000,8.4
windgeber_ZMW,1699278029000000000,7.1
windgeber_ZMW,1699278629000000000,6.2
windgeber_ZMW,1699279229000000000,6
windgeber_ZMW,1699279829000000000,4.9
windgeber_ZMW,1699280429000000000,4.6
windgeber_ZMW,1699281029000000000,4.9
windgeber_ZMW,1699281629000000000,5.5
windgeber_ZMW,1699282229000000000,4.5
windgeber_ZMW,1699282829000000000,5.1
windgeber_ZMW,1699283429000000000,5.2
windgeber_ZMW,1699284029000000000,5.9
windgeber_ZMW,1699284629000000000,4.8
windgeber_ZMW,1699285229000000000,3.7
windgeber_ZMW,1699285829000000000,3.8
windgeber_ZMW,1699286429000000000,4.3
windgeber_ZMW,1699287029000000000,4.1
windgeber_ZMW,1699287629000000000,4.5
windgeber_ZMW,1699288229000000000,5.7
windgeber_ZMW,1699288829000000000,5.5
windgeber_ZMW,1699289429000000000,5.8
windgeber_ZMW,1699290029000000000,5.9
windgeber_ZMW,1699290629000000000,6.6
windgeber_ZMW,1699291229000000000,6.1
windgeber_ZMW,1699291829000000000,5.3
windgeber_ZMW,1699292429000000000,5
windgeber_ZMW,1699293029000000000,4.8
windgeber_ZMW,1699293629000000000,4.1
windgeber_ZMW,1699294229000000000,2.9
windgeber_ZMW,1699294829000000000,1.8
windgeber_ZMW,1699295429000000000,2
windgeber_ZMW,1699296029000000000,2.8
windgeber_ZMW,1699296629000000000,5.1
windgeber_ZMW,1699297229000000000,3.9
windgeber_ZMW,1699297829000000000,2.8
windgeber_ZMW,1699298429000000000,3.5
windgeber_ZMW,1699299029000000000,3.5
windgeber_ZMW,1699299629000000000,4.9
windgeber_ZMW,1699300229000000000,5.2
windgeber_ZMW,1699300829000000000,4.1
windgeber_ZMW,1699301429000000000,3.9
windgeber_ZMW,1699302029000000000,3.2
windgeber_ZMW,1699302629000000000,4.1
windgeber_ZMW,1699303229000000000,4.4
windgeber_ZMW,1699303829000000000,5.2
windgeber_ZMW,1699304429000000000,4.7
windgeber_ZMW,1699305029000000000,3.8
windgeber_ZMW,1699305629000000000,4.1
windgeber_ZMW,1699306229000000000,4.2
windgeber_ZMW,1699306829000000000,4.2
windgeber_ZMW,1699307429000000000,3.9
windgeber_ZMW,1699308029000000000,4.1
windgeber_ZMW,1699308629000000000,4.3
windgeber_ZMW,1699309229000000000,3.9
windgeber_ZMW,1699309829000000000,4.4
windgeber_ZMW,1699310429000000000,4.9
windgeber_ZMW,1699311029000000000,4.9
windgeber_ZMW,1699311629000000000,4.5
windgeber_ZMW,1699312229000000000,4.7
windgeber_ZMW,1699312829000000000,4.5
windgeber_ZMW,1699313429000000000,5
windgeber_ZMW,1699314029000000000,5.2
windgeber_ZMW,1699314629000000000,4.9
windgeber_ZMW,1699315229000000000,5.1
windgeber_ZMW,1699315829000000000,5.3
windgeber_ZMW,1699316429000000000,5.4
windgeber_ZMW,1699317029000000000,5.8
windgeber_ZMW,1699317629000000000,6.1
windgeber_ZMW,1699318229000000000,5.6
windgeber_ZMW,1699318829000000000,5.3
